Субъект,Код ОКПД-2,Округ,Месяц,Год,Значение
Чувашская Республика,23.52.10.130,ПФО,2,2020,0.0
Архангельская область,23.52.10.130,СЗФО,2,2020,0.0
Вологодская область,23.52.10.130,СЗФО,2,2020,48.4
Калининградская область,23.52.10.130,СЗФО,2,2020,0.0
Ленинградская область,23.52.10.130,СЗФО,2,2020,4.0
Мурманская область,23.52.10.130,СЗФО,2,2020,0.0
Новгородская область,23.52.10.130,СЗФО,2,2020,0.0
Псковская область,23.52.10.130,СЗФО,2,2020,0.0
Республика Карелия,23.52.10.130,СЗФО,2,2020,0.0
Республика Коми,23.52.10.130,СЗФО,2,2020,0.0
Санкт-Петербург,23.52.10.130,СЗФО,2,2020,0.0
Кабардино-Балкарская Республика,23.52.10.130,СКФО,2,2020,0.0
Карачаево-Черкесская Республика,23.52.10.130,СКФО,2,2020,0.0
Республика Дагестан,23.52.10.130,СКФО,2,2020,0.0
Республика Ингушетия,23.52.10.130,СКФО,2,2020,0.0
Республика Северная Осетия-Алания,23.52.10.130,СКФО,2,2020,0.0
Ставропольский край,23.52.10.130,СКФО,2,2020,0.0
Чеченская Республика,23.52.10.130,СКФО,2,2020,0.0
Алтайский край,23.52.10.130,СФО,2,2020,0.0
Забайкальский край,23.52.10.130,ДВФО,2,2020,0.0
Иркутская область,23.52.10.130,СФО,2,2020,0.0
Кемеровская область,23.52.10.130,СФО,2,2020,0.0
Красноярский край,23.52.10.130,СФО,2,2020,0.0
Новосибирская область,23.52.10.130,СФО,2,2020,0.0
Омская область,23.52.10.130,СФО,2,2020,0.0
Республика Алтай,23.52.10.130,СФО,2,2020,0.0
Республика Бурятия,23.52.10.130,ДВФО,2,2020,0.0
Республика Тыва,23.52.10.130,СФО,2,2020,0.0
Республика Хакасия,23.52.10.130,СФО,2,2020,0.0
Томская область,23.52.10.130,СФО,2,2020,0.0
Курганская область,23.52.10.130,УФО,2,2020,0.0
Свердловская область,23.52.10.130,УФО,2,2020,1.7
Тюменская область,23.52.10.130,УФО,2,2020,0.0
